id,percentChange,colorValue
008,0.087,2
012,-0.058,2
020,-0.23,1
040,0.384,4
044,0.626,5
050,-0.357,0
112,0.439,4
056,0.158,3
070,0.449,4
100,0.493,4
191,0.425,4
196,0.242,3
203,0.59,4
208,1.067,6
233,0.945,6
234,1.261,7
246,1.752,9
250,-0.094,1
250,-0.181,1
276,0.487,4
300,0.09,2
831,0.065,2
348,0.658,5
352,1.583,9
356,0.027,2
372,0.436,4
833,0.508,4
380,-0.066,2
832,0.065,2
428,0.605,4
434,0.043,2
438,-0.037,2
440,0.534,4
442,0.047,2
807,0.256,3
470,-0.262,1
498,0.626,5
492,-0.079,2
499,0.29,3
504,0.018,2
524,-0.443,0
528,0.443,4
528,0.449,4
578,1.371,8
616,0.805,5
620,0.001,2
642,0.638,5
666,0.137,2
674,0.163,3
688,0.563,4
703,0.677,5
705,0.396,4
724,-0.077,2
144,0.23,3
744,1.904,10
752,1.359,8
756,-0.071,2
788,-0.098,1
792,0.475,4
804,0.923,6
826,0.537,4
826,0.55,4
732,0.281,3
248,1.121,7